"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Lose Control (feat. Ciara & Fat Man Scoop)","2wIVse2owClT7go1WT98tk",227893,"2005-07-04",0.55,0.901,0.812,4,0.709780082245664,0,0.107,0.0326839991745624,0.00906,0.0493,0.785,0.438271604938272,0,1,0,0
"Say It Right","6ObeGN1qTsep95QRNOfNc3",133724,"2021-02-05",0.6,0.702,0.934,8,0.816627927766851,1,0.261,0.012703969113699,0,0.153,0.472,0.432098765432099,0,1,0,0
"Nesesari (feat. Philkeyz)","1X6cBGnXpEpN7CmflLKmLV",178000,"2018-11-30",0.74,0.774,0.802,5,0.765456821026283,0,0.123,0.330971720689271,2.7e-06,0.0666,0.95,0.351851851851852,0,1,0,0
"Foot Fungus","2rhFzFmezpnW82MNqEKVry",129546,"2018-11-30",0.76,0.881,0.623,1,0.615984266046844,1,0.119,0.259326158349811,1.5e-06,0.0964,0.745,0.216049382716049,0,1,0,0
"nasty","66CXWjxzNUsdJxJ2JdwvnR",200732,"2020-10-30",0.71,0.772,0.506,6,0.726980153763633,0,0.139,0.0821295281130628,1.1e-05,0.182,0.456,0.45679012345679,0,1,0,0
"Levitating (feat. DaBaby)","6M2wZ9GZgrQXHCFfjv46we",203064,"2020-10-01",0.92,0.702,0.825,6,0.82606829966029,0,0.0601,0.00889969066271641,0,0.0674,0.915,0.302469135802469,0,1,0,0
"Culo","7sfl4Xt5KmfyDs2T3SVSMK",219080,"2004-08-03",0.59,0.858,0.656,6,0.78412301090649,0,0.358,0.115025941243575,0,0.141,0.969,0.037037037037037,0,1,0,0
"Astronaut In the Ocean","1uU7g3DNSbsu0QjSEqZtEd",132780,"2021-02-10",0.45,0.778,0.695,4,0.716002145539067,0,0.0913,0.176580579309872,0,0.15,0.472,0.592592592592593,0,1,0,0
"Another One Bites The Dust","1dfeR4HaWDbWqFHLkxsg1d",215933,"1981-10-26",0.55,0.922,0.392,5,0.529411764705882,0,0.122,0.0447931083023584,0.165,0.123,0.771,0.345679012345679,0,1,0,0
"I'm a Slave 4 U","26dSoYclwsYLMAKD3tpOr4",203600,"2001-10-31",0.71,0.847,0.843,5,0.833506168424817,0,0.106,0.418762761865792,0.000134,0.107,0.963,0.345679012345679,0,1,0,0
"Let Me Blow Ya Mind","4d3yvTptO48nOYTPBcPFZC",230133,"2019-10-11",0.38,0.908,0.557,8,0.809762202753442,0,0.107,0.244189771940066,0,0.0709,0.897,0.222222222222222,0,1,0,0
"Renai Circulation (English Cover) [TV Size]","47SKKz21c5Zd3Fh8u8pMvP",91066,"2020-08-13",0.68,0.896,0.555,4,0.527194707670302,1,0.085,0.254280696213229,0.0143,0.109,0.772,0.407407407407407,0,1,0,0
"BANG BANG BANG","4Kxlr1PRlDKEB0ekOCyHgX",220177,"2016-12-13",0.69,0.69,0.843,1,0.856034328625067,1,0.0534,0.016841248065696,0,0.346,0.428,0.5,0,1,0,0
"Officially Missing You - Midi Mafia Mix aka Radio Main","0le01dl1WllSHhjEXRl4in",204146,"2003-01-01",0.57,0.733,0.605,2,0.567709637046308,1,0.0836,0.0623513165376626,0.0366,0.251,0.9,0.314814814814815,0,1,0,0
"LOVE. FEAT. ZACARI.","2YZyLoL8N0Wb9xBt1NhZWg",213400,"2017-04-14",0.79,0.8,0.585,10,0.698909350974432,1,0.0924,0.266389805341025,0,0.153,0.779,0.444444444444444,0,1,0,0
"Leave The Door Open","0du5cEVh5yTK9QJze8zA0C",242096,"2021-03-05",0.96,0.586,0.616,5,0.676703021634186,1,0.0324,0.183644226301086,0,0.0927,0.719,0.580246913580247,0,1,0,0
"No Idea","4Gso3d4CscCijv0lmajZWs",154424,"2020-03-13",0.81,0.652,0.631,6,0.7570177006973,0,0.0893,0.528753836443272,0.000579,0.165,0.35,0.45679012345679,0,1,0,0
"What You Know Bout Love","0eDvMgVFoNV3TpwtrVCoTj",160000,"2020-07-03",0.53,0.454,0.563,5,0.657715000893975,0,0.421,0.648835835293916,4.57e-06,0.135,0.561,0.172839506172839,0,1,0,0
"Up Down (Do This All Day) (feat. B.o.B)","3aQeKQSyrW4qWr35idm0cy",231893,"2013-08-13",0.58,0.763,0.53,5,0.762882174146254,0,0.0577,0.274462544759556,0,0.16,0.469,0.265432098765432,0,1,0,0
"Single Ladies (Put a Ring on It)","6vWDO969PvNqNYHIOW5v0m",193213,"2008-11-17",0.69,0.426,0.584,1,0.772215269086358,1,0.296,0.0386376444957288,0,0.188,0.272,0.858024691358025,0,1,0,0
"Teach Me How to Dougie","1EeArivTpzLNCqubV95255",237480,"2011-07-12",0.69,0.846,0.438,11,0.783372072233149,1,0.141,0.20180788999278,9.43e-05,0.0939,0.512,0.191358024691358,0,1,0,0
"oui","3KV3p5EY4AvKxOlhGHORLg",238320,"2015-12-04",0.76,0.418,0.724,5,0.828321115680315,1,0.0964,0.214926091547892,0,0.112,0.604,0.154320987654321,0,1,0,0
"Options (feat. Stephen Marley) - DJ Noodles Remix","0TnOYISbd1XYRBk9myaseg",251952,"2017-02-17",0.39,0.652,0.8,9,0.785338816377615,1,0.04,0.000589814523766397,0.129,0.091,0.397,0.567901234567901,0,1,0,0
"What’s New","181bsRPaVXVlUKXrxwZfHK",155090,"2020-11-20",0.77,0.934,0.873,1,0.793170033971035,1,0.309,0.00491377557481689,0,0.0832,0.721,0.530864197530864,0,1,0,0
"#Twerkit","1YfEcTuGvBQ8xSD1f53UnK",231320,"2013-01-01",0.53,0.67,0.916,6,0.806150545324513,0,0.439,0.16043510047281,4.39e-06,0.417,0.656,0.58641975308642,0,1,0,0
"Got It All","4qXC0i02bSFstECuXP2ZpL",159130,"2020-11-20",0.62,0.605,0.583,0,0.780261040586447,0,0.294,0.360235401081444,0,0.314,0.534,0.240740740740741,0,1,0,0
